次,樓層,棟,號,出售面積(坪),持分土地面積(坪),標售單價(元/m2),標售總價(元),投標數,得標總價(元)/標售總價(元)
2019,3,C,_1,29.79,5.31,"69,118","6,806,071",2,1.0171
2019,5,C,_1,29.79,5.31,"69,118","6,806,071",3,1.0088
2019,6,C,_1,29.79,5.31,"69,118","6,806,071",4,1.0298
2019,7,C,_1,29.79,5.31,"69,723","6,865,651",6,1.1055
2019,4,D,_1,29.79,5.31,"68,543","6,749,470",5,1.0214
2019,5,D,_1,29.79,5.31,"69,118","6,806,071",3,1.0690
2019,7,D,_1,29.79,5.31,"69,723","6,865,651",7,1.0857
2019,3,C,_2,32.1,5.77,"67,229","7,134,310",3,1.2167
2019,4,C,_2,32.1,5.77,"66,624","7,070,110",2,1.0268
2019,5,C,_2,32.1,5.77,"67,229","7,134,310",3,1.1396
2019,6,C,_2,32.1,5.77,"67,229","7,134,310",7,1.1569
2019,4,D,_2,32.1,5.77,"66,624","7,070,110",5,1.1857
2019,6,D,_2,32.1,5.77,"70,325","7,462,937",10,1.1106
2019,7,D,_2,32.1,5.77,"67,803","7,195,300",17,1.2782
2019,3,A,_1,46.3,8.3,"69,008","10,563,015",8,1.3491
2019,3,B,_3,47.85,8.59,"66,464","10,512,580",3,1.0532
2019,4,B,_3,47.85,8.59,"65,889","10,421,665",2,1.0118
2020,8,C,_1,29.79,5.31,69723,"6,865,651",?,?
2020,8,C,_2,32.1,5.77,67803,"7,195,300",?,?
2020,9,C,_1,29.79,5.31,70873,"6,978,853",?,?
2020,9,C,_2,32.1,5.77,68983,"7,320,490",?,?
2020,1,C,_1,29.79,5.31,72053,"7,095,034",?,?
2020,1,C,_2,32.1,5.77,70133,"7,442,470",?,?
2020,1,C,_1,29.79,5.31,72053,"7,095,034",?,?
2020,1,C,_2,32.1,5.77,70133,"7,442,470",?,?
2020,1,C,_1,29.79,5.31,73202,"7,208,236",?,?
2020,1,C,_2,32.1,5.77,71312,"7,567,660",?,?
2020,4,C,_5,45.96,8.25,67300,"10,226,179",?,?
2020,8,D,_1,29.79,5.31,69723,"6,865,651",?,?
2020,8,D,_2,32.1,5.77,67803,"7,195,300",?,?
2020,9,D,_1,29.79,5.31,70873,"6,978,853",?,?
2020,9,D,_2,32.1,5.77,68983,"7,320,490",?,?
2020,1,D,_1,29.79,5.31,72053,"7,095,034",?,?
2020,1,D,_2,32.1,5.77,70133,"7,442,470",?,?
2020,1,D,_1,29.79,5.31,72053,"7,095,034",?,?
2020,1,D,_2,32.1,5.77,70133,"7,442,470",?,?
2020,1,D,_1,29.79,5.31,73202,"7,208,236",?,?
2020,1,D,_2,32.1,5.77,71312,"7,567,660",?,?
2020,1,D,_1,29.79,5.31,73202,"7,208,236",?,?
2020,1,D,_2,32.1,5.77,71312,"7,567,660",?,?
2020,3,D,_3,47.77,8.48,71239,"11,249,376",?,?
2020,6,D,_5,45.96,8.25,71121,"10,806,789",?,?
